id,Turno Carga,equipo_acarreo,operador_acarreo,material,flota_carguio,equipo_carguio,duracion_llegada,duracion_acarreo,duracion_descarga,duracion_viajando_vacio,tonelaje,efh_cargado_km,efh_vacio_km,distancia_cargado_km,distancia_vacia_km,velocidad_cargado,velocidad_vacio
1139936,B,Equipo_acarreo 3,Operador 28,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,174,1100,60,403.8,293.0,9.17,4.04,3.72,3.68,11.92,30.74
1139937,B,Equipo_acarreo 27,Operador 12,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,210,30,193.8,288.0,1.75,1.94,1.97,1.95,33.72,36.36
1139938,B,Equipo_acarreo 7,Operador 7,Desmonte,Flota_carguio 2,Equipo_carguio 3,161,814,34,336.0,290.0,6.78,3.36,3.1,3.12,13.48,33.49
1139939,B,Equipo_acarreo 19,Operador 68,Desmonte,Flota_carguio 2,Equipo_carguio 5,220,684,32,397.8,278.0,5.7,3.98,3.07,3.13,15.63,28.67
1139942,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 2,2,302,32,250.2,276.0,2.52,2.5,2.11,2.13,25.23,30.58
1139943,B,Equipo_acarreo 26,Operador 129,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,248,1008,46,360.0,277.0,8.4,3.6,3.67,3.38,13.11,34.02
1139944,B,Equipo_acarreo 9,Operador 130,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,220,34,195.0,281.0,1.83,1.95,1.99,1.97,32.6,36.94
1139945,B,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 3,Equipo_carguio 7,18,277,40,754.2,261.0,2.32,7.54,1.48,5.51,19.34,28.91
1139946,B,Equipo_acarreo 12,Operador 26,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,236,42,198.0,283.0,1.97,1.98,1.97,1.9,29.92,37.4
1139947,B,Equipo_acarreo 27,Operador 12,Desmonte,Flota_carguio 2,Equipo_carguio 2,178,220,34,460.8,288.0,1.83,4.61,1.98,1.88,32.39,31.34
1139948,B,Equipo_acarreo 17,Operador 17,Desmonte,Flota_carguio 2,Equipo_carguio 3,5,822,42,417.0,292.0,6.85,4.17,3.67,3.72,16.08,33.15
1139950,B,Equipo_acarreo 13,Operador 33,Desmonte,Flota_carguio 2,Equipo_carguio 5,6,680,42,397.8,285.0,5.67,3.98,3.15,3.12,16.41,28.0
1139951,B,Equipo_acarreo 1,Operador 16,Desmonte,Flota_carguio 2,Equipo_carguio 3,287,764,38,384.0,286.0,6.37,3.84,3.06,3.14,14.23,29.58
1139952,B,Equipo_acarreo 10,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 5,14,710,34,334.20000000000005,297.0,5.92,3.34,3.15,3.09,15.78,33.78
1139953,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 2,2,278,36,208.8,282.0,2.32,2.09,2.03,1.88,26.27,33.52
1139955,B,Equipo_acarreo 9,Operador 130,Desmonte,Flota_carguio 2,Equipo_carguio 2,12,282,48,223.8,278.0,2.35,2.24,2.16,2.1,28.64,33.82
1139956,B,Equipo_acarreo 16,Operador 4,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,4,1040,44,751.1999999999999,272.0,8.67,7.51,3.64,3.97,12.78,27.11
1139957,B,Equipo_acarreo 22,Operador 15,Desmonte,Flota_carguio 2,Equipo_carguio 3,85,744,42,300.0,295.0,6.2,3.0,3.05,3.07,14.48,36.73
1139958,B,Equipo_acarreo 8,Operador 105,Desmonte,Flota_carguio 2,Equipo_carguio 5,7,612,50,358.2,289.0,5.1,3.58,3.14,3.14,18.12,31.85
1139960,B,Equipo_acarreo 12,Operador 26,Desmonte,Flota_carguio 2,Equipo_carguio 2,9,222,40,240.0,282.0,1.85,2.4,1.99,2.05,32.18,30.84
1139961,B,Equipo_acarreo 14,Operador 25,Desmonte,Flota_carguio 2,Equipo_carguio 3,2,690,30,367.8,287.0,5.75,3.68,3.06,3.08,15.69,31.47
1139962,B,Equipo_acarreo 2,Operador 32,Desmonte,Flota_carguio 2,Equipo_carguio 5,128,734,40,445.8,287.0,6.12,4.46,3.14,3.13,15.12,32.4
1139963,B,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,284,46,681.0,280.0,2.37,6.81,1.82,4.57,22.96,30.8
1139964,B,Equipo_acarreo 4,Operador 126,Desmonte,Flota_carguio 2,Equipo_carguio 3,119,718,38,360.0,298.0,5.98,3.6,3.07,3.21,15.1,32.02
1139965,B,Equipo_acarreo 7,Operador 7,Desmonte,Flota_carguio 2,Equipo_carguio 5,116,646,32,385.8,278.0,5.38,3.86,3.08,3.05,16.91,32.43
1139966,B,Equipo_acarreo 6,Operador 6,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,4,936,34,502.19999999999993,287.0,7.8,5.02,3.63,3.65,13.8,27.22
1139967,B,Equipo_acarreo 25,Operador 21,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 6,0,120,40,301.8,274.0,1.0,3.02,0.62,1.54,19.23,23.05
1139968,B,Equipo_acarreo 19,Operador 68,Desmonte,Flota_carguio 2,Equipo_carguio 3,40,672,38,427.8,289.0,5.6,4.28,3.0,3.54,15.78,29.29
1139969,B,Equipo_acarreo 3,Operador 28,Desmonte,Flota_carguio 2,Equipo_carguio 3,84,812,44,624.0,291.0,6.77,6.24,3.06,4.09,13.37,28.02
1139970,B,Equipo_acarreo 27,Operador 12,Desmonte,Flota_carguio 2,Equipo_carguio 5,210,784,42,823.2,297.0,6.53,8.23,3.09,4.07,14.01,25.72
1139971,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 2,32,254,46,244.8,275.0,2.12,2.45,2.03,2.14,28.64,31.48
1139972,B,Equipo_acarreo 9,Operador 130,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,218,42,175.8,291.0,1.82,1.76,1.99,1.96,32.8,39.9
1139973,B,Equipo_acarreo 21,Operador 23,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,264,40,760.8,281.0,2.2,7.61,1.81,1.91,24.52,21.82
1139975,B,Equipo_acarreo 13,Operador 33,Desmonte,Flota_carguio 2,Equipo_carguio 3,2,734,44,397.8,292.0,6.12,3.98,3.07,3.06,14.83,27.61
1139976,B,Equipo_acarreo 12,Operador 26,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,264,38,223.8,285.0,2.2,2.24,2.02,2.15,27.46,34.56
1139977,B,Equipo_acarreo 17,Operador 17,Desmonte,Flota_carguio 2,Equipo_carguio 5,12,1202,40,354.0,288.0,7.97,3.54,3.97,3.13,19.11,33.66
1139978,B,Equipo_acarreo 10,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 3,8,1272,42,418.8,296.0,9.3,4.19,3.9,3.13,14.86,28.07
1139979,B,Equipo_acarreo 1,Operador 16,Desmonte,Flota_carguio 2,Equipo_carguio 5,6,700,42,253.8,287.0,5.83,2.54,3.07,1.83,15.63,26.05
1139980,B,Equipo_acarreo 8,Operador 105,Desmonte,Flota_carguio 2,Equipo_carguio 3,6,658,46,174.0,285.0,5.49,1.74,3.1,1.89,16.84,38.78
1139981,B,Equipo_acarreo 22,Operador 15,Desmonte,Flota_carguio 2,Equipo_carguio 5,244,740,36,574.8,280.0,6.17,5.75,3.03,3.13,14.55,27.81
