id,Turno Carga,equipo_acarreo,operador_acarreo,material,flota_carguio,equipo_carguio,duracion_llegada,duracion_acarreo,duracion_descarga,duracion_viajando_vacio,tonelaje,efh_cargado_km,efh_vacio_km,distancia_cargado_km,distancia_vacia_km,velocidad_cargado,velocidad_vacio
1104116,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,271,120,48,124.2,305.0,1.0,1.24,0.66,0.61,20.22,18.24
1104117,A,Equipo_acarreo 2,Operador 2,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,158,338,50,271.8,275.0,2.82,2.72,2.23,2.3,23.71,26.32
1104119,A,Equipo_acarreo 4,Operador 4,Desmonte,Flota_carguio 1,Equipo_carguio 4,6,216,50,448.2,273.0,1.8,4.48,1.28,3.28,20.51,25.73
1104120,A,Equipo_acarreo 5,Operador 5,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,4,340,34,394.8,298.0,2.83,3.95,2.25,2.3,23.95,29.35
1104124,A,Equipo_acarreo 9,Operador 9,Desmonte,Flota_carguio 1,Equipo_carguio 6,142,204,42,340.2,282.0,1.7,3.4,1.44,1.39,24.85,33.03
1104125,A,Equipo_acarreo 10,Operador 10,Desmonte,Flota_carguio 1,Equipo_carguio 4,157,204,36,315.0,270.0,1.7,3.15,1.2,1.24,20.99,28.5
1104126,A,Equipo_acarreo 11,Operador 11,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,196,362,58,145.8,302.0,3.02,1.46,2.73,1.22,27.16,31.37
1104127,A,Equipo_acarreo 12,Operador 12,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,6,350,42,384.0,275.0,2.92,3.84,2.24,3.0,22.93,29.35
1104128,A,Equipo_acarreo 13,Operador 13,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,260,872,44,397.8,274.0,7.27,3.98,3.99,4.03,16.26,36.47
1104129,A,Equipo_acarreo 14,Operador 14,Desmonte,Flota_carguio 2,Equipo_carguio 5,84,743,46,292.2,271.0,6.19,2.92,1.4,3.27,15.54,34.61
1104131,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,120,46,112.2,290.0,1.0,1.12,0.67,0.61,20.33,20.32
1104132,A,Equipo_acarreo 16,Operador 16,Desmonte,Flota_carguio 1,Equipo_carguio 6,6,190,36,438.0,270.0,1.58,4.38,1.43,3.91,27.54,33.33
1104134,A,Equipo_acarreo 18,Operador 18,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,99,362,38,418.2,292.0,3.02,4.18,2.27,3.4,22.5,29.46
1104135,A,Equipo_acarreo 19,Operador 19,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,218,336,42,223.2,288.0,2.8,2.23,2.31,2.3,24.57,31.79
1104136,A,Equipo_acarreo 2,Operador 2,Desmonte,Flota_carguio 1,Equipo_carguio 4,200,226,54,331.8,279.0,1.88,3.32,1.24,1.24,19.48,31.49
1104137,A,Equipo_acarreo 20,Operador 20,Desmonte,Flota_carguio 1,Equipo_carguio 6,2,198,46,166.2,287.0,1.65,1.66,1.45,1.48,25.76,32.42
1104138,A,Equipo_acarreo 21,Operador 21,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,246,350,30,411.0,299.0,2.92,4.11,2.3,2.3,23.69,30.4
1104139,A,Equipo_acarreo 5,Operador 5,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,98,878,29,547.8000000000001,270.0,7.32,5.48,4.01,3.74,16.27,36.13
1104140,A,Equipo_acarreo 22,Operador 22,Desmonte,Flota_carguio 2,Equipo_carguio 5,254,804,30,436.2,293.0,6.7,4.36,3.23,3.29,14.16,27.35
1104142,A,Equipo_acarreo 23,Operador 23,Desmonte,Flota_carguio 1,Equipo_carguio 6,159,182,38,184.2,278.0,1.52,1.84,1.33,1.39,26.23,29.73
1104145,A,Equipo_acarreo 24,Operador 24,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,2,304,36,442.2,277.0,2.53,4.42,2.21,3.41,26.27,28.24
1104146,A,Equipo_acarreo 12,Operador 12,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,8,660,38,478.8,271.0,5.5,4.79,2.97,2.96,16.07,28.36
1104147,A,Equipo_acarreo 10,Operador 10,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,199,526,28,853.2,282.0,4.38,8.53,3.62,3.55,24.85,27.04
1104148,A,Equipo_acarreo 16,Operador 16,Desmonte,Flota_carguio 2,Equipo_carguio 5,244,738,36,532.1999999999999,287.0,6.15,5.32,3.13,2.7,15.44,24.7
1104149,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,102,40,97.8,284.0,0.85,0.98,0.61,0.61,21.55,22.22
1104150,A,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,1,340,40,277.8,294.0,2.83,2.78,2.29,2.28,24.28,30.25
1104151,A,Equipo_acarreo 14,Operador 14,Desmonte,Flota_carguio 1,Equipo_carguio 6,37,304,32,439.8,268.0,2.53,4.4,2.35,3.32,27.81,31.15
1104152,A,Equipo_acarreo 17,Operador 17,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,2,694,34,507.0,295.0,5.78,5.07,2.97,1.87,15.32,35.0
1104154,A,Equipo_acarreo 18,Operador 18,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,182,738,38,361.2,278.0,6.15,3.61,3.79,3.68,18.08,29.28
1104155,A,Equipo_acarreo 6,Operador 6,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,6,312,30,331.2,296.0,2.6,3.31,2.25,2.3,25.93,32.38
1104156,A,Equipo_acarreo 2,Operador 2,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,63,720,44,241.2,263.0,6.0,2.41,2.98,2.96,14.76,32.45
1104157,A,Equipo_acarreo 13,Operador 13,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,2,356,28,238.2,294.0,2.97,2.38,2.31,2.27,23.37,34.17
1104158,A,Equipo_acarreo 3,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 5,16,708,44,354.0,280.0,5.9,3.54,3.23,3.25,16.0,33.44
1104159,A,Equipo_acarreo 23,Operador 23,Desmonte,Flota_carguio 1,Equipo_carguio 6,257,304,36,429.0,283.0,2.53,4.29,2.18,2.21,25.62,29.29
1104160,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,112,54,88.2,296.0,0.93,0.88,0.66,0.61,21.54,25.35
1104162,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,46,522,44,418.8,271.0,4.35,4.19,3.56,3.55,24.67,29.23
1104163,A,Equipo_acarreo 24,Operador 24,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,80,714,40,694.8,276.0,5.95,6.95,3.75,3.68,18.45,31.56
1104164,A,Equipo_acarreo 8,Operador 8,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,14,372,40,228.0,283.0,3.1,2.28,2.27,2.3,22.0,25.45
1104165,A,Equipo_acarreo 9,Operador 9,Desmonte,Flota_carguio 1,Equipo_carguio 4,8,282,36,414.0,280.0,2.35,4.14,1.21,3.24,15.3,28.6
1104166,A,Equipo_acarreo 15,Operador 15,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,8,660,36,424.2000000000001,280.0,5.5,4.24,2.96,2.78,15.94,23.39
1104167,A,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,6,346,42,412.2,294.0,2.88,4.12,2.25,3.35,23.4,29.82
1104168,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,124,44,96.0,294.0,1.03,0.96,0.65,0.6,19.99,22.8
1104169,A,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 1,Equipo_carguio 6,22,332,34,400.2,288.0,2.77,4.0,2.28,3.27,24.62,29.64
1104170,A,Equipo_acarreo 14,Operador 14,Desmonte,Flota_carguio 2,Equipo_carguio 5,10,788,32,345.0,281.0,6.57,3.45,3.33,3.27,14.76,32.76
1104171,A,Equipo_acarreo 6,Operador 6,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,12,674,30,208.8,284.0,5.62,2.09,2.96,2.78,15.55,25.1
1104172,A,Equipo_acarreo 22,Operador 22,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,6,800,40,439.2000000000001,284.0,6.67,4.39,3.85,3.68,16.9,31.09
1104173,A,Equipo_acarreo 13,Operador 13,Desmonte,Flota_carguio 2,Equipo_carguio 2,8,202,44,343.8,278.0,1.68,3.44,1.67,1.8,29.59,22.46
1104174,A,Equipo_acarreo 4,Operador 4,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,98,648,42,259.8,270.0,5.4,2.6,2.54,0.71,13.08,23.61
1104175,A,Equipo_acarreo 11,Operador 11,Desmonte,Flota_carguio 2,Equipo_carguio 5,8,688,30,433.2,273.0,5.73,4.33,3.27,3.27,16.64,35.51
1104176,A,Equipo_acarreo 2,Operador 2,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,99,508,42,619.2,276.0,4.23,6.19,3.55,4.34,25.32,27.39
1104177,A,Equipo_acarreo 19,Operador 19,Desmonte,Flota_carguio 1,Equipo_carguio 6,84,338,38,330.0,285.0,2.82,3.3,2.24,2.52,23.72,27.98
1104178,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,126,40,169.8,289.0,1.05,1.7,0.65,0.6,18.45,18.5
1104179,A,Equipo_acarreo 12,Operador 12,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,78,574,42,208.2,264.0,4.78,2.08,2.45,1.68,15.12,29.83
1104180,A,Equipo_acarreo 8,Operador 8,Desmonte,Flota_carguio 1,Equipo_carguio 4,81,206,45,349.8,270.0,1.72,3.5,1.2,2.41,21.03,26.71
1104182,A,Equipo_acarreo 18,Operador 18,Desmonte,Flota_carguio 1,Equipo_carguio 6,154,338,46,303.0,289.0,2.82,3.03,2.38,2.34,25.17,30.89
1104183,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,38,492,36,340.79999999999995,265.0,4.1,3.41,3.56,3.55,26.2,35.57
1104184,A,Equipo_acarreo 23,Operador 23,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,194,728,46,189.0,284.0,6.07,1.89,2.65,2.78,12.74,29.41
1104186,A,Equipo_acarreo 13,Operador 13,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,8,534,46,763.8000000000001,301.0,4.45,7.64,3.58,3.9,24.26,30.79
1104187,A,Equipo_acarreo 20,Operador 20,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,48,1372,40,630.0,289.0,7.93,6.3,4.0,3.68,15.05,30.23
1104188,A,Equipo_acarreo 3,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 5,202,748,40,373.8,299.0,6.23,3.74,3.25,2.58,15.23,32.05
1104189,A,Equipo_acarreo 21,Operador 21,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,0,476,42,445.8,284.0,3.97,4.46,3.62,4.23,27.51,34.15
1104190,A,Equipo_acarreo 5,Operador 5,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,370,728,50,289.20000000000005,275.0,6.07,2.89,3.82,3.68,18.54,39.11
1104191,A,Equipo_acarreo 10,Operador 10,Mineral Óxido,Flota_carguio 2,Equipo_carguio 3,109,666,36,234.0,268.0,5.55,2.34,2.53,1.7,13.36,26.08
1104192,A,Equipo_acarreo 6,Operador 6,Desmonte,Flota_carguio 1,Equipo_carguio 4,45,224,40,316.2,267.0,1.87,3.16,1.18,2.55,18.73,31.33
1104193,A,Equipo_acarreo 17,Operador 17,Desmonte,Flota_carguio 1,Equipo_carguio 6,52,318,44,252.0,275.0,2.65,2.52,2.26,2.54,25.53,36.13
1104194,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,132,38,97.8,285.0,1.1,0.98,0.66,0.6,17.88,22.46
1104198,A,Equipo_acarreo 19,Operador 19,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,124,240,50,223.2,298.0,2.0,2.23,1.69,2.12,25.35,27.95
1104199,A,Equipo_acarreo 8,Operador 8,Desmonte,Flota_carguio 1,Equipo_carguio 6,6,320,34,364.2000000000001,280.0,2.67,3.64,2.35,2.87,26.21,28.75
1104200,A,Equipo_acarreo 15,Operador 15,Desmonte,Flota_carguio 1,Equipo_carguio 4,54,222,44,262.8,284.0,1.85,2.63,1.21,1.24,19.48,35.76
1104201,A,Equipo_acarreo 12,Operador 12,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,204,262,42,340.79999999999995,279.0,2.18,3.41,1.73,2.12,24.08,28.61
1104203,A,Equipo_acarreo 18,Operador 18,Desmonte,Flota_carguio 1,Equipo_carguio 6,64,302,32,385.2,273.0,2.52,3.85,2.3,2.35,27.38,31.12
1104204,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,208,420,28,282.0,287.0,3.5,2.82,2.25,2.03,21.26,25.84
1104207,A,Equipo_acarreo 23,Operador 23,Desmonte,Flota_carguio 1,Equipo_carguio 6,198,292,48,396.0,276.0,2.43,3.96,2.27,2.35,27.99,28.71
1104208,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,116,42,408.0,294.0,0.97,4.08,0.66,2.81,20.23,25.99
1104209,A,Equipo_acarreo 6,Operador 6,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,4,288,40,354.0,286.0,2.4,3.54,1.85,2.88,23.03,30.73
1104210,A,Equipo_acarreo 2,Operador 2,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,270,774,40,421.8,291.0,6.45,4.22,3.75,3.68,17.17,33.93
1104212,A,Equipo_acarreo 4,Operador 4,Desmonte,Flota_carguio 1,Equipo_carguio 4,34,208,34,838.2,275.0,1.73,8.38,1.3,4.92,21.62,23.47
1104213,A,Equipo_acarreo 17,Operador 17,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,192,250,40,136.79999999999998,285.0,2.08,1.37,1.82,2.12,26.15,25.66
1104214,A,Equipo_acarreo 10,Operador 10,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,140,264,40,333.0,283.0,2.2,3.33,1.84,2.12,24.98,27.41
1104215,A,Equipo_acarreo 13,Operador 13,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,8,902,30,442.2,286.0,7.52,4.42,4.01,4.01,15.84,32.81
1104216,A,Equipo_acarreo 19,Operador 19,Desmonte,Flota_carguio 1,Equipo_carguio 6,203,336,34,312.0,298.0,2.8,3.12,2.34,2.38,25.06,30.21
1104218,A,Equipo_acarreo 15,Operador 15,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,260,242,56,184.2,282.0,2.02,1.84,1.85,1.74,27.82,34.1
1104219,A,Equipo_acarreo 3,Operador 3,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,8,304,34,708.0,290.0,2.53,7.08,1.83,4.07,21.76,25.66
1104221,A,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 1,Equipo_carguio 6,308,298,30,325.79999999999995,279.0,2.48,3.26,2.3,2.51,27.74,30.06
1104222,A,Equipo_acarreo 18,Operador 18,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,115,742,36,295.2,269.0,6.18,2.95,3.72,3.68,17.73,36.61
1104223,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,134,310,42,205.8,293.0,2.58,2.06,1.82,1.64,21.82,28.93
1104224,A,Equipo_acarreo 17,Operador 17,Desmonte,Flota_carguio 1,Equipo_carguio 4,65,234,42,346.2,271.0,1.95,3.46,1.24,2.55,18.89,27.17
1104225,A,Equipo_acarreo 6,Operador 6,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,132,700,44,514.2,280.0,5.83,5.14,3.76,3.73,18.83,30.71
1104226,A,Equipo_acarreo 1,Operador 1,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,40,260,46,192.0,281.0,2.17,1.92,1.83,1.59,25.49,29.5
1104227,A,Equipo_acarreo 20,Operador 20,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,14,980,60,478.8,260.0,8.17,4.79,4.07,3.97,14.62,34.0
1104228,A,Equipo_acarreo 9,Operador 9,Desmonte,Flota_carguio 1,Equipo_carguio 6,136,418,40,685.8,283.0,3.48,6.86,3.43,3.32,29.53,34.54
1104229,A,Equipo_acarreo 24,Operador 24,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,20,322,42,262.2,291.0,2.68,2.62,1.83,2.12,20.8,31.63
1104230,A,Equipo_acarreo 23,Operador 23,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 5,45,840,44,358.2,281.0,7.0,3.58,3.71,3.52,15.58,35.6
1104231,A,Equipo_acarreo 10,Operador 10,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,100,898,38,499.8,271.0,7.48,5.0,4.0,3.97,15.85,31.76
1104232,A,Equipo_acarreo 14,Operador 14,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,62,276,40,228.0,289.0,2.3,2.28,1.88,2.12,24.87,31.24
1104233,A,Equipo_acarreo 15,Operador 15,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,148,228,52,453.0,288.0,1.9,4.53,1.84,2.12,29.1,33.49
1104234,A,Equipo_acarreo 22,Operador 22,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,306,1042,36,448.2,287.0,8.68,4.48,4.01,4.03,13.7,32.71
1104235,A,Equipo_acarreo 19,Operador 19,Desmonte,Flota_carguio 1,Equipo_carguio 6,52,331,36,366.0,292.0,2.76,3.66,2.36,2.35,25.58,32.39
1104236,A,Equipo_acarreo 25,Operador 25,Desmonte,Flota_carguio 1,Equipo_carguio 4,0,236,46,375.0,285.0,1.97,3.75,1.22,1.24,18.59,23.38
1104237,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,346,36,252.0,281.0,2.88,2.52,1.82,1.89,18.81,27.43
1104238,A,Equipo_acarreo 13,Operador 13,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,8,476,46,454.2000000000001,285.0,3.97,4.54,2.69,2.12,21.3,25.65
1104239,A,Equipo_acarreo 1,Operador 1,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,136,298,42,232.2,290.0,2.48,2.32,2.692938136174252,1.88,21.86,29.52
1104241,A,Equipo_acarreo 16,Operador 16,Desmonte,Flota_carguio 1,Equipo_carguio 6,75,332,52,271.2,273.0,2.77,2.71,2.27,2.36,24.84,31.25
1104244,A,Equipo_acarreo 21,Operador 21,Desmonte,Flota_carguio 1,Equipo_carguio 6,335,256,40,481.2,273.0,2.13,4.81,2.28,2.35,31.98,29.97
1104245,A,Equipo_acarreo 24,Operador 24,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,269,292,48,367.8,286.0,2.44,3.68,1.88,2.12,24.01,26.31
1104246,A,Equipo_acarreo 14,Operador 14,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,292,329,22,432.0,283.0,2.75,4.32,1.93,1.98,24.41,23.2
1104250,A,Equipo_acarreo 15,Operador 15,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,124,246,50,199.2,281.0,2.05,1.99,1.84,2.12,26.84,33.97
1104251,A,Equipo_acarreo 25,Operador 25,Desmonte,Flota_carguio 1,Equipo_carguio 6,391,386,30,424.2000000000001,286.0,3.22,4.24,2.36,3.16,21.95,30.1
1104252,A,Equipo_acarreo 19,Operador 19,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,19,738,48,238.2,287.0,6.15,2.38,3.14,1.9,14.98,28.77
1104253,A,Equipo_acarreo 8,Operador 8,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,263,688,46,366.0,287.0,5.73,3.66,3.11,3.17,15.92,27.19
1104254,A,Equipo_acarreo 9,Operador 9,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,106,830,38,457.8,260.0,6.92,4.58,4.02,3.97,17.21,33.19
1104256,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,332,44,256.2,291.0,2.77,2.56,1.75,1.88,18.84,26.97
1104258,A,Equipo_acarreo 23,Operador 23,Desmonte,Flota_carguio 2,Equipo_carguio 5,312,806,50,321.0,273.0,6.72,3.21,4.57,4.23,19.89,38.36
1104259,A,Equipo_acarreo 16,Operador 16,Desmonte,Flota_carguio 1,Equipo_carguio 6,402,302,38,318.0,273.0,2.52,3.18,2.25,2.39,27.14,28.62
1104264,A,Equipo_acarreo 15,Operador 15,Desmonte,Flota_carguio 2,Equipo_carguio 2,130,186,36,169.8,284.0,1.55,1.7,1.67,1.61,32.63,33.98
1104265,A,Equipo_acarreo 21,Operador 21,Desmonte,Flota_carguio 2,Equipo_carguio 5,300,758,44,313.8,279.0,6.32,3.14,4.47,3.49,20.74,40.06
1104266,A,Equipo_acarreo 1,Operador 1,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,10,336,36,240.0,288.0,2.8,2.4,1.79,1.88,22.57,28.38
1104267,A,Equipo_acarreo 22,Operador 22,Desmonte,Flota_carguio 2,Equipo_carguio 2,1,250,22,639.0,294.0,2.08,6.39,1.68,1.66,24.1,26.9
1104269,A,Equipo_acarreo 13,Operador 13,Desmonte,Flota_carguio 1,Equipo_carguio 6,298,354,40,360.0,279.0,2.95,3.6,3.5,3.32,35.78,35.15
1104270,A,Equipo_acarreo 14,Operador 14,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,48,506,52,376.8,290.0,4.22,3.77,3.6,3.55,25.72,34.56
1104271,A,Equipo_acarreo 18,Operador 18,Desmonte,Flota_carguio 2,Equipo_carguio 2,201,256,46,177.0,290.0,2.13,1.77,1.73,1.6,24.11,30.44
1104272,A,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 1,Equipo_carguio 4,31,270,36,346.8,278.0,2.25,3.47,2.39,2.21,31.78,36.59
1104273,A,Equipo_acarreo 19,Operador 19,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,382,542,36,274.20000000000005,298.0,4.52,2.74,3.6,2.82,23.94,36.7
1104274,A,Equipo_acarreo 4,Operador 4,Desmonte,Flota_carguio 2,Equipo_carguio 5,311,800,34,451.2,283.0,6.67,4.51,2.83,4.25,18.83,32.95
1104275,A,Equipo_acarreo 7,Operador 7,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,336,34,799.2,285.0,2.8,7.99,1.8,1.83,19.35,25.09
1104278,A,Equipo_acarreo 16,Operador 16,Desmonte,Flota_carguio 1,Equipo_carguio 6,0,428,50,390.0,286.0,3.57,3.9,3.48,3.32,29.5,37.34
1104281,A,Equipo_acarreo 2,Operador 2,Desmonte,Flota_carguio 1,Equipo_carguio 6,6,378,28,672.0,288.0,3.15,6.72,3.37,3.32,32.29,30.89
1104282,A,Equipo_acarreo 1,Operador 1,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,258,40,528.0,293.0,2.15,5.28,1.8,1.91,25.0,28.48
1104283,A,Equipo_acarreo 23,Operador 23,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,97,494,32,595.8,281.0,4.12,5.96,3.58,3.56,26.21,28.76
1104284,A,Equipo_acarreo 8,Operador 8,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,217,486,46,385.2,286.0,4.05,3.85,3.6,3.55,26.81,32.46
1104285,A,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 1,Equipo_carguio 6,137,338,32,337.2,295.0,2.82,3.37,3.39,1.84,36.13,22.49
1104286,A,Equipo_acarreo 18,Operador 18,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,184,484,46,475.8,290.0,4.03,4.76,3.53,3.55,26.44,33.28
1104289,A,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,8,302,40,216.0,290.0,2.52,2.16,1.79,1.85,21.14,31.29
1104290,A,Equipo_acarreo 3,Operador 3,Desmonte,Flota_carguio 1,Equipo_carguio 6,312,374,46,510.0,288.0,3.12,5.1,3.33,3.32,31.97,34.79
1104292,A,Equipo_acarreo 19,Operador 19,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,262,304,34,598.2,293.0,2.53,5.98,1.81,4.17,21.27,28.48
1104293,A,Equipo_acarreo 16,Operador 16,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,140,560,40,367.8,293.0,4.67,3.68,3.6,3.55,23.13,34.53
1104295,A,Equipo_acarreo 24,Operador 24,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,276,508,52,400.8,288.0,4.23,4.01,3.59,3.55,25.59,31.34
1104297,A,Equipo_acarreo 1,Operador 1,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,10,268,40,558.0,296.0,2.23,5.58,1.75,3.0,23.36,24.32
1104298,A,Equipo_acarreo 6,Operador 6,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,134,226,36,181.8,288.0,1.88,1.82,1.63,1.61,26.05,32.15
1104300,A,Equipo_acarreo 12,Operador 12,Desmonte,Flota_carguio 1,Equipo_carguio 6,220,356,38,348.0,302.0,2.97,3.48,3.39,3.5,34.42,36.41
1104302,A,Equipo_acarreo 8,Operador 8,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,104,288,40,346.2,275.0,2.4,3.46,1.92,3.35,23.93,34.95
1104303,A,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,32,306,42,352.8,290.0,2.55,3.53,1.74,1.83,20.39,30.32
1104304,A,Equipo_acarreo 14,Operador 14,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,8,494,54,330.0,287.0,4.12,3.3,3.63,3.56,26.57,38.95
1104306,A,Equipo_acarreo 22,Operador 22,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,168,481,36,391.8,287.0,4.01,3.92,1.83,1.85,19.57,26.6
1104307,A,Equipo_acarreo 21,Operador 21,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,96,462,34,429.0,287.0,3.85,4.29,3.57,3.55,27.94,37.76
1104309,A,Equipo_acarreo 15,Operador 15,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,3,444,54,319.8,289.0,3.7,3.2,3.56,3.55,29.02,37.96
1104310,A,Equipo_acarreo 25,Operador 25,Desmonte,Flota_carguio 1,Equipo_carguio 6,213,370,32,262.2,277.0,3.08,2.62,3.37,2.85,32.97,39.18
1104312,A,Equipo_acarreo 16,Operador 16,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,89,528,40,426.0,280.0,4.4,4.26,3.6,3.47,24.52,35.46
1104314,A,Equipo_acarreo 11,Operador 11,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,274,458,36,364.2000000000001,292.0,3.82,3.64,3.54,3.55,27.99,37.96
1104315,A,Equipo_acarreo 24,Operador 24,Desmonte,Flota_carguio 1,Equipo_carguio 6,295,344,32,370.2,278.0,2.87,3.7,3.35,2.92,35.14,33.8
1104318,A,Equipo_acarreo 12,Operador 12,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,54,274,44,262.2,289.0,2.28,2.62,1.96,2.12,25.91,33.15
